Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
"Оладушки на кефире, обезжиренном твороге, стевии,  с   яблоками",155.8 кКал,9.9 г,2.7 г,23 г,"Творог обезжиренный: 90 г, Мука кукурузная: 80 г, Яйцо куриное (Жарка): 54 г, Заменитель сахара  Стевия №1: 6 г, Соль поваренная пищевая: 0.5 г, Пищевая сода: 1 г, Яблоко (Жарка): 104 г, Кефир 2,5% жирности (Жарка): 50 г"
Помидоры Черный принц с сыром страчателла и соусом песто на подушке из рукколы,135.3 кКал,8.3 г,9.7 г,3.4 г,"Помидор (томат), грунтовый: 180 г, Руккола: 50 г, Оливковое масло: 5 г, Страчателла: 100 г, Соус песто, готовый к употреблению, длительного хранения: 15 г, Базилик, свежий: 5 г, Кедровый орех, сушеный: 10 г"
Рис с машем,115.4 кКал,4.8 г,2.7 г,17.7 г,"Маш (бобы мунг): 165 г, Подсолнечное масло: 25 г, Соевый соус: 48 г, Вода: 1000 г, Соль поваренная пищевая: 5 г, Карри, порошок: 5 г, Рис белый, крупа рисовая: 170 г"
"Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками , с зеленью",209.7 кКал,15.4 г,13.1 г,7.9 г,"Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками, тесто: 400 г, Зелень (укроп,петрушка,лук перо): 20 г, Конопляное масло: 4 г"
Рагу с говядиной,108 кКал,7.3 г,4.7 г,8.6 г,"Картофель (Тушение): 800 г, Морковь (Тушение): 200 г, Лук репчатый (Тушение): 150 г, Соль поваренная пищевая: 15 г, Укроп (Варка без слива): 17 г, Вода: 200 г, Подсолнечное масло: 50 г, Говядина, вырезка, постное мясо, сырая: 500 г, Фасоль стручковая (Тушение): 100 г, Паприка, перец сладкий молотый: 2 tbsp, Зелень кориандра (кинза), сырая: 1 г, Томатная паста. Консервы: 2 Столовая ложка (&quo..."
"Шайбочки курино творожные с зеленью с сыром страчателла, помидорами, соусом песто с кедровыми орешка...",180.4 кКал,12.6 г,12 г,5.2 г,"Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками , с зеленью: 100 г, Помидор (томат), грунтовый: 70 г, Страчателла: 60 г, Соус песто, готовый к употреблению, длительного хранения: 10 г, Оливковое масло: 3 г, Зелень (укроп,петрушка,лук перо): 5 г, Базилик, свежий: 3 г"
Суфле творожно манговое с голубикой,88 кКал,8.6 г,0.9 г,11 г,"Творог обезжиренный, 0,6% жирности: 480 г, Желатин, сухой порошок, неподслащенный: 10 г, Молоко 2,5% жирности, стерилизованное: 300 г, Сахар песок: 65 г, Манго: 400 г, Голубика: 250 г"
Салат из пекинской капусты с сырым кабачком,19.1 кКал,1.1 г,0.2 г,3.1 г,"Укроп: 24 г, Руккола: 34 г, Пекинская капуста: 251 г, Помидор (томат), парниковый: 78 г, Перец сладкий зеленый: 62 г, Кабачок: 121 г, Морская капуста (ламинария) сушеная (Варка со сливом): 6 г, Соль поваренная пищевая: 5 г, Вода: 200 г"
Сырники конец сентября,174.2 кКал,16.6 г,7 г,10.8 г,"Творог 1% Бабушкина крынка: 408 г, Подсолнечное масло: 22 г, Пшеничная мука, высшего сорта: 66 г, Яйцо куриное: 56 г, Соль поваренная пищевая: 3 г"
Суп из  сельди с картофелем,43.2 кКал,3.9 г,2.6 г,0.9 г,"Лук репчатый (Варка без слива): 33 г, Морковь (Варка без слива): 22 г, Лавровый лист: 1 г, Перец душистый, молотый: 1 г, Сельдь тихоокеанская жирная (Варка): 140 г, Соль поваренная пищевая: 7 г, Перец черный,  молотый или горошек: 0.5 г, Лук репчатый: 27 г, Руккола: 9 г, Чеснок: 6 г, Бульон рыбный: 900 г"
Овсяное печенье,371.8 кКал,8.2 г,21.7 г,35.9 г,"Овсяные хлопья ""геркулес"" (Запекание): 120 г, Сахар песок: 40 г, Яйцо куриное (Запекание): 100 г, Пшеничная мука, высшего сорта (Жарка): 20 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 70 г"
"Бисквитное печенье а-ля Савоярди с рисовой мукой на белках, подходит для тирамису",171.1 кКал,12 г,0.3 г,30 г,"Яичный белок куриный (Запекание): 192 г, Эритрит: 85 г, Рисовая мука: 80 г"
Салат из варёных овощей с сельдью и рукколой,95.1 кКал,5.4 г,4 г,9.1 г,"Морковь (Варка со сливом): 93 г, Картофель (Варка со сливом): 390 г, Свекла (Варка со сливом): 215 г, Огурец соленый: 193 г, Сельдь тихоокеанская жирная соленая: 200 г, Руккола: 16 г"
Блинчики на греческом йогурте,148.9 кКал,10.4 г,6.1 г,12.7 г,"Яйцо куриное (Жарка): 2 С1, Рисовая мука, белая: 30 г, Йогурт греческий 2 %: 100 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520): 2 г"
Суфле творожно банановое с апельсиновым сахаром,88.7 кКал,6.6 г,1.2 г,12.6 г,"Творог влажный обезжиренный: 480 г, Молоко 3,5% жирности, пастеризованное: 300 г, Желатин, сухой порошок, неподслащенный: 10 г, Сахар, коричневый: 8 г, Банан: 240 г, Апельсиновая цедра, сырая: 4 г, Сахар песок: 30 г"
Суп из минтая с картофелем,21.4 кКал,2.3 г,0.2 г,2.6 г,"Лук репчатый (Варка без слива): 44 г, Морковь (Варка без слива): 24 г, Картофель (Варка без слива): 130 г, Вода: 1200 г, Минтай (Варка): 150 г, Соль поваренная пищевая: 7 г, Перец черный,  молотый или горошек: 0.5 г, Перец душистый, молотый: 0.5 г, Лавровый лист: 1 г, Лук репчатый: 15 г, Руккола: 15 г, Чеснок: 6 г"
Шайбочка яично сырная,254.1 кКал,15 г,13.4 г,16.9 г,"Яйцо куриное (Запекание): 144 г, Молоко 3,5% жирности, пастеризованное (Запекание): 60 г, Мука с разрыхлителем без глютена: 100 г, Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 60 г, Оливковое масло: 2 г"
"Заправка из патиссонов  запечённых с томатом, сладким перцем, тушёных с репчатым луком и морковью",47 кКал,0.8 г,2.1 г,6.5 г,"Патиссон (Запекание): 800 г, Перец сладкий зеленый (Запекание): 100 г, Помидор (томат), парниковый (Запекание): 150 г, Лук репчатый (Жарка): 60 г, Морковь (Жарка): 60 г, Оливковое масло: 20 г, Соль поваренная пищевая: 8 г, Сахар песок: 20 г, Вода: 200 г"
"Рулетики из филе индейки с сыром, яйцом и морковью_п/ф",118.3 кКал,17.3 г,4.9 г,1.5 г,"Филе грудки индейки ""Индилайт"" с нутриентами: 514 г, Сыр Natura лёгкий 16%: 50 г, Яйцо куриное (Варка): 100 г, Лук репчатый (Тушение): 92 г, Морковь (Тушение): 60 г, Масло сливочное топленое, 99% жирности: 5 г"
Котлеты из фарша говядина-свинина,156.8 кКал,21.6 г,5.7 г,3.8 г,"Говядина, фарш, 95% постного мяса/ 5% жира, сырая: 250 г, Фарш свиной, 96% мяса / 4% жира, приготовленный: 250 г, Яйцо куриное (Жарка): 50 г, Лук репчатый (Жарка): 75 г, Панировочные сухари: 30 г"
Пастила из яблочного пюре без сахара,319 кКал,3.1 г,3.1 г,66.7 г,Яблочное пюре без сахара: 1 Порция
Морковный корж,255.1 кКал,8.1 г,14.9 г,22.4 г,"Морковь: 100 г, Мука Пшеничная [Столичная Мельница]: 75 г, Подсолнечное масло: 52 г, Яйцо куриное: 50 г, Изюм, золотистый, без косточек: 40 г, Чернослив (слива сушеная): 34 г, Грецкий орех: 30 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 4 г, Корица, молотая: 2 г, Творог мягкий 0.1%: 200 г"
"Салат с креветками, гребешками, сыром, песто, авокадо",162.3 кКал,10 г,12 г,3.2 г,"Помидор (томат), грунтовый: 100 г, Авокадо: 60 г, Оливковое масло: 6 г, Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве: 24 г, Зелень (укроп,петрушка,лук перо): 5 г, Соус песто, готовый к употреблению, длительного хранения: 8 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 60 г, Морские гребешки,тигровые черные креветки припущенные с чесноком на двух маслах: 40 г, Сыр Тет де Муан,Швейцария: 10 г, Каперсы, консервированные: 10 г, Кедровый орех, сушеный: 10 г, Сок лимонный: 10 г"
"Мойва тушёная с кабачком, луком, морковью, сладким перцем",100 кКал,6.1 г,7.1 г,2.9 г,"Лук репчатый (Тушение): 90 г, Перец сладкий зеленый (Тушение): 20 г, Морковь (Тушение): 100 г, Кабачок желтый: 235 г, Мойва осенняя (Тушение): 317 г, Вода: 200 г, Соль поваренная пищевая: 3 г, Паприка, перец сладкий молотый: 1 г, Куркума, молотая: 1 г, Перец душистый, молотый: 0.5 г, Базилик, свежий: 2 г"
Салатик овощной с ананасовыми помидорами с лимонным маслом,88.3 кКал,6.1 г,5.3 г,3.9 г,"Помидор (томат), грунтовый: 90 г, Огурец грунтовый: 60 г, Перец сладкий красный: 70 г, Маринованный лук: 50 г, Зелень (укроп,петрушка,лук перо): 4 г, Оливковое масло: 10 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 90 г"
Яичная лапша с говядиной и овощами в устричном соусе с авокадо и кунжутом,136.4 кКал,6.9 г,6.3 г,11.8 г,"Вермишель Яичная отварная: 100 г, Овощи тушеные с устричным соусом: 100 г, Вырезка говядина сололомка, стейки: 60 г, Кунжут: 2 г, Базилик, свежий: 2 г, Авокадо: 60 г, Сок лимонный: 5 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г"
"Вермишель черная с говядиной, овощами, конопляными ядрышками с зеленью",138.3 кКал,8.9 г,4.3 г,15.3 г,"Вермишель рисовая из чёрного риса отварная: 150 г, Овощи тушеные с устричным соусом: 100 г, Стейк, Топ Блейд, без кости, говядина, только мясо, обрезь до 0'' жира, отборная, сырой: 80 г, Зелень( укроп,петрушка,кинза,лук): 4 г, Конопля, семя сушеное лущёное: 2 г"
Сельдь тушёная с перловой крупой и овощами,70.3 кКал,3.2 г,2.4 г,9 г,"Лук репчатый (Тушение): 115 г, Морковь (Тушение): 32 г, Перловая крупа (Варка без слива рассыпчатая): 60 г, Перец сладкий зеленый (Тушение): 30 г, Сельдь тихоокеанская жирная (Тушение): 192 г, Кабачок (Тушение): 528 г, Помидор (томат), парниковый (Тушение): 284 г, Соль поваренная пищевая: 12 г, Сахар песок: 20 г, Паприка, перец сладкий молотый: 1 г, Перец душистый, молотый: 1 г, Лавровый лист: 1 г, Базилик, свежий: 1 г, Морская капуста (ламинария) сушеная: 5 г, Вода: 300 г"
"Омлет с кремчизом с имбирем и мятой, форель",145.9 кКал,14.9 г,8 г,3.1 г,"Яйцо куриное (Запекание): 95 г, Молоко 2,5% жирности, стерилизованное (Запекание): 30 г, Оливковое масло: 3 г, Сыр сливочный, обезжиренный, м.д.ж. 4% в сух. в-ве: 60 г, Форель с/с атлантическая: 60 г"
"Салат из  жёлтого кабачка, пекинской капусты с яйцом, рукколой, морковью",73.6 кКал,4 г,4.6 г,3.9 г,"Пекинская капуста: 130 г, Кабачок: 156 г, Морковь: 27 г, Морская капуста (ламинария) свежая: 30 г, Яйцо куриное вареное вкрутую: 135 г, Руккола: 10 г, Сметана 15% жирности: 60 г, Соль поваренная пищевая: 6 г, Сахар песок: 6 г, Базилик, свежий: 2 г"
Сгущенное молоко из сухого молока и стевии,196.2 кКал,18.1 г,1.5 г,27.1 г,"Молоко 2,5% жирности, пастеризованное: 50 г, Молоко сухое обезжиренное, быстрорастворимое: 50 г, Заменитель сахара  Стевия №1: 5 г"
Кабачковая икра,142.8 кКал,1.4 г,10.8 г,9.6 г,"Кабачок (Тушение): 3000 г, Лук репчатый (Тушение): 200 г, Лук порей (Тушение): 300 г, Чеснок (Тушение): 50 г, Майонез «Провансаль», 67% жирности: 250 г, Томатная паста. Консервы: 300 г, Сахар песок: 100 г, Соль поваренная пищевая: 30 г, Подсолнечное масло: 200 г, Перец черный,  молотый или горошек: 4 г, Уксус столовый 9%: 40 г"
Салат овощной с лимонным маслом,82.4 кКал,1.8 г,6.2 г,4.3 г,"Огурец грунтовый: 51 г, Помидор (томат), грунтовый: 83 г, Перец сладкий красный: 50 г, Зелень (укроп,петрушка,лук перо): 32 г, Оливковое масло: 5 г, Авокадо: 60 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г, Сок лимонный: 10 г, Лук репчатый: 40 г, Кедровый орех, сушеный: 10 г"
"Салат с помидорами, соусом песто, базиликом и сыром",143.9 кКал,7.5 г,10.6 г,4.4 г,"Помидор (томат), грунтовый: 210 г, Базилик, свежий: 6 г, Оливковое масло: 5 г, Соус песто, готовый к употреблению, длительного хранения: 10 г, Кедровый орех, сушеный: 10 г, Буррата сыр: 150 г"
Паштет из куриной грудки,104.8 кКал,17.1 г,2.7 г,3 г,"Куриная грудка (филе) (Варка): 700 г, Морковь (Варка со сливом): 350 г, Яйцо куриное (Варка): 3 С1, Соль поваренная пищевая: 1 Чайная ложка (""..., Лук репчатый (Мытьё, нарезка): 1 Штука, Укроп: 2 г"
Суп с фрикадельками и макаронами бантиками,72.9 кКал,5.2 г,0.9 г,10.3 г,"Фарш из грудки индейки и цыплёнка: 180 г, Паста (макароны, спагетти), сухая: 150 г, Вода: 1200 г, Соль поваренная пищевая: 6 г, Базилик, свежий: 1 г, Руккола: 9 г, Перец душистый, молотый: 1 г, Перец черный,  молотый или горошек: 0.5 г"
Овсяноблин с творогом и ягодами,209.5 кКал,10.2 г,5.8 г,28 г,"Яйцо куриное (Жарка): 100 г, Молоко 2,5% жирности, стерилизованное (Жарка): 100 г, Овсяная мука (Жарка): 100 г, Рисовая мука, белая: 100 г, Какао смесь, порошок: 10 г, Соль поваренная пищевая: 2 г, Творог 5% жирности: 120 г, Сметана 15% жирности: 30 г, Клубника: 70 г, Ежевика: 20 г, Шоколад горький: 8 г"
Скумбрия тушёная с овощами и перловой крупой,58.9 кКал,3.4 г,2.5 г,5.7 г,"Скумбрия дальневосточная (Тушение): 222 г, Лук репчатый (Тушение): 130 г, Морковь (Тушение): 80 г, Помидор (томат), парниковый (Тушение): 129 г, Перец сладкий зеленый (Тушение): 42 г, Сельдерей (Тушение): 10 г, Перловая крупа (Варка без слива рассыпчатая): 60 г, Кабачок (Тушение): 302 г, Соль поваренная пищевая: 11 г, Сахар песок: 11 г, Вода: 600 г, Лавровый лист: 1 г, Паприка, перец сладкий молотый: 0.5 г, Перец душистый, молотый: 0.5 г, Перец черный,  молотый или горошек: 0.2 г, Руккола: 9 г, Базилик, свежий: 1 г, Чеснок: 4 г"
"Руккола с халапеньо , страчателлой, соусом песто с творожно куриной шайбочкой",147.5 кКал,10.5 г,8.5 г,6.4 г,"Руккола: 50 г, Шайбочки творожно куриные с конопляными ядрышками и кедровыми орешками: 100 г, Страчателла: 50 г, Помидор (томат), грунтовый: 50 г, Халапеньо: 30 г, Каперсы, консервированные: 10 г, Соус песто, готовый к употреблению, длительного хранения: 8 г, Базилик, свежий: 5 г"
"Шайбочки творожные с маскарпоне, тесто",191.8 кКал,13.2 г,9.3 г,12.8 г,"Творог 5% жирности: 600 г, Сахар песок: 40 г, Сахар песок: 8 г, Молоко 2,5% жирности, стерилизованное: 200 г, Сливки 35% жирности, пастеризованные: 150 г, Яйцо куриное: 100 г, Мука с разрыхлителем без глютена: 150 г"
Оладушки из тыквы,96.7 кКал,3.6 г,2.2 г,5.5 г,"Тыква (Жарка): 280 г, Мука ржаная цельнозерновая: 70 г, Яйцо куриное (Жарка): 45 г, Вода водопроводная, городская: 120 г, Фитпарад 5: 5 г, Ванилин: 0.5 г, Подсолнечное масло: 3 г"
Овсяное печенье  с изюмом и кофе,230.6 кКал,9.6 г,7.2 г,31.9 г,"Молоко 2,5% жирности, пастеризованное (Запекание): 100 г, Овсяные хлопья ""геркулес"" (Запекание): 100 г, Соль поваренная пищевая: 1 г, Изюм без косточек (из винограда кишмиш) (Запекание): 10 г, Заменитель сахара  Стевия №1: 2 г, Кофе растворимый, сухой: 3 г, Яйцо куриное (Запекание): 50 г, Оливковое масло: 2 г, Сода пищевая, разрыхлитель для выпечки: 1 г"
Чахохбили из курицы,90.3 кКал,6.6 г,5.7 г,2.8 г,"Курица 1 кат. (Жарка): 1000 г, Помидор (томат), грунтовый: 1000 г, Лук репчатый (Жарка): 600 г, Чеснок, зелень: 25 г, Базилик, сушеный: 13 г, Соль поваренная пищевая: 25 г, Подсолнечное масло: 45 г"
Салат,146 кКал,6.7 г,11.7 г,2.5 г,"Руккола: 60 г, Помидор (томат), грунтовый: 70 г, Оливковое масло: 10 г, Авокадо: 60 г, Соус песто, готовый к употреблению, длительного хранения: 10 г, Сок лимонный: 10 г, Форель с/с атлантическая: 70 г, Каперсы, консервированные: 5 г, Кедровый орех, сушеный: 10 г"
Винегрет,96.6 кКал,2.7 г,3.6 г,12.4 г,"Картофель отварной по 1-206: 500 г, Свекла отварная по 1-76: 500 г, Огурцы маринованные, сладкие, с пониженым содержанием соли: 70 г, Нут (турецкий горох), вареный, с солью: 200 г, Капуста белокочанная, квашеная (Варка со сливом): 300 г, Оливковое масло: 50 г, Соль поваренная пищевая: 5 г, Перец черный,  молотый или горошек: 5 г"
Кекс бананово шоколадный,200.2 кКал,12.6 г,7.1 г,20.3 г,"Банан (Запекание): 50 г, Яйцо куриное (Запекание): 50 г, Творог 9% жирности (Запекание): 100 г, Кефир 2,5% жирности (Запекание): 10 г, Какао-порошок: 5 г, Рисовая мука, белая: 40 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520): 3 г"
"Шайбочка творожная на кефире , запеканка",306.5 кКал,23.3 г,13.3 г,21.6 г,"Творог 5% жирности (Запекание): 600 г, Яйцо куриное (Запекание): 193 г, Кефир 3,2% жирности (Запекание): 200 г, Мука с разрыхлителем без глютена: 150 г, Сливки 25% жирности, стерилизованные (Запекание): 100 г, Сахар, коричневый: 8 г, Сахар песок: 40 г, Соль поваренная пищевая: 2 г"
Чечевица жёлтая с овощами,124.7 кКал,7.5 г,1.5 г,20.3 г,"Чечевица жёлтая: 250 г, Масло сливочное топленое, 99% жирности: 7 г, Лук репчатый (Жарка): 88 г, Морковь (Жарка): 53 г, Кетчуп томатный Heinz: 37 г, Вода: 500 г"
Заливной пирог с курицей,181.9 кКал,17.7 г,7.9 г,9.7 г,"Сыр легкий 35% Брест-Литовск: 51 г, Куриная грудка (филе) (Варка): 159 г, Яйцо куриное (Варка): 3 Штука, Кефир 3,2% жирности (Запекание): 91 г, Йогурт греческий 2 %: 100 г, Рисовая мука, белая: 50 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 2 г, Яйцо куриное (Запекание): 1 Штука"
Сырники с цельнозерновой мукой,199.3 кКал,19.2 г,9.9 г,7.2 г,"Творог 9% жирности (Жарка): 350 г, Яйцо куриное (Жарка): 50 г, Пшеничная мука цельнозерновая: 25 г"
Оладьи из индейки с картофелем и кабачком,155.7 кКал,13.2 г,8.8 г,6.4 г,"Фарш изысканный: 700 г, Картофель: 278 г, Лук репчатый: 208 г, Кабачок: 133 г, Яйцо куриное: 74 г, Подсолнечное масло: 30 г, Приправа для Курицы [Галео]: 5 г, Соль поваренная пищевая: 5 г"
Треска запеченая в сметанно яичной заливке с сыром,195.7 кКал,16 г,13.9 г,1.3 г,"Треска (Запекание): 280 г, Яйцо куриное (Запекание): 145 г, Сметана 25% жирности (Запекание): 100 г, Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 60 г, Зелень (укроп,петрушка,лук перо): 8 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г"
Десерт а-ля Тирамису с какао и творожным кремом на рисовом печенье,77 кКал,9 г,1.1 г,7.5 г,"Бисквитное печенье а-ля Савоярди с рисовой мукой на белках, подходит для тирамису: 190 г, Творог обезжиренный: 530 г, Простокваша 2,5% жирности: 210 г, Сахарозаменитель: эритрит + стевия: 40 г, Кокосовая стружка, подслащенная: 8 г, Ванильный экстракт, искуственный: 1 г, Молоко 1,5% жирности, пастеризованное (Кипячение): 120 г, Какао-порошок: 15 г, Сахарозаменитель: эритрит + стевия: 10 г, Корица, молотая: 1 г, Ванильный экстракт, искуственный: 1 г"
"_ Тыква, запечённая с мясом",61.1 кКал,6.3 г,1.9 г,4.7 г,"Тыква (Запекание): 1500 г, Свинина, вырезка (Запекание): 390 г, Лук репчатый (Запекание): 170 г, Соль поваренная пищевая: 3 г, Чеснок, порошок: 3 г, Teos греческий йогурт: 90 г"
Спаржевая фасоль с яйцами,94.4 кКал,7 г,4.5 г,6.7 г,"Спаржевая фасоль вигна: 199 г, Яйцо куриное (Жарка): 2 С1"
Котлетки из цыплёнка с овсяными  отрубями и кабачком,183.1 кКал,26.4 г,5 г,6.4 г,"Грудка цыплёнка 5 окт. 2023 г.: 121 г, Оливковое масло: 5 г, Соль поваренная пищевая: 2 г, Кабачок (Жарка): 90 г, Отруби овсяные: 20 г"
Шайбочки дранички картофельные,134.9 кКал,6.2 г,3.6 г,18.8 г,"Картофель (Жарка): 330 г, Яйцо куриное (Запекание): 100 г, Лук репчатый, сушеный (Запекание): 10 г, Смесь без глютена для котлет и начинок Вегафарш: 30 г"
"Салат овощной с рукколой, авокадо, помидорками",138.7 кКал,3.9 г,12 г,2.8 г,"Руккола: 90 г, Авокадо: 100 г, Помидор (томат), грунтовый: 100 г, Оливковое масло: 10 г, Соус песто, готовый к употреблению, длительного хранения: 10 г, Сок лимонный: 10 г, Сыр моцарелла, м.д.ж. 44% в сух. в-ве: 30 г, Кедровый орех, сушеный: 10 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г"
Куриные зразы с яйцом и сыром,160.6 кКал,17.4 г,8.4 г,3.5 г,"Куриный фарш: 700 г, Творог обезжиренный, 0,6% жирности (Жарка): 100 г, Яйцо куриное (Жарка): 2 С1, Соль поваренная пищевая: 1 Чайная ложка (""..., Перец черный,  молотый или горошек: 1 tsp, Лук репчатый (Пассерование): 40 г, Сыр литовский, м.д.ж. 30% в сух. в-ве: 70 г, Яйцо куриное вареное вкрутую: 3 С1, Морская капуста (ламинария) сушеная (Запекание): 1 г, Пшеничная мука цельнозерновая: 50 г"
Салат из сельдерея с грудкой,71.1 кКал,11 г,1.4 г,3.4 г,"Куриная грудка (филе) (Варка): 150 г, Сельдерей (Мытьё, нарезка): 160 г, Айсберг (салат кочанный): 80 г, Горчица столовая: 50 г"
Хлеб,344.3 кКал,22.3 г,11.5 г,28.5 г,"Отруби овсяные: 40 г, Яйцо куриное (Запекание): 48 г, Йогурт греческий TEOS 2%: 45 г, Сода пищевая, разрыхлитель для выпечки: 0.7 г, Соль поваренная пищевая: 0.7 г"
Шарлотка с яблоком и лимоном,140.8 кКал,5.9 г,3.6 г,20.7 г,"Яйцо куриное: 160 г, Мука Столичная мельница: 120 г, Яблоко Ред Принц: 324 г, Лимонный сок, необработанный: 45 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 2 г, Лимонная цедра, сырая: 2 г, Соль поваренная пищевая: 1 г"
"Филе хека, запечённое с овощами",174.3 кКал,19.3 г,9.2 г,3.5 г,"Лук репчатый (Пассерование): 114 г, Морковь (Пассерование): 126 г, Масло сливочное топленое, 99% жирности: 9 г, Сыр твёрдый Дон Леон с ароматом топлкного молока: 100 г, Сметана греческая 10% Eko greko: 26 г, Горчица столовая: 6 г, Филе хека: 477 г"
Котлетки из мойвы осенней,282.9 кКал,16.2 г,19.2 г,8.7 г,"Мойва  осенняя: 286 г, Кабачок (Жарка): 76 г, Помидор (томат), парниковый (Жарка): 42 г, Лук репчатый (Жарка): 31 г, Отруби овсяные: 71 г, Соль поваренная пищевая: 4 г, Паприка, перец сладкий молотый: 0.2 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 3 г"
"Салат с рукколой, кабачком, перепелиным яйцом, кедровыми орешками",49.3 кКал,2.8 г,2.6 г,4 г,"Руккола: 36 г, Кабачок: 162 г, Сельдерей: 21 г, Помидор (томат), парниковый: 65 г, Перец сладкий зеленый: 38 г, Репа: 23 г, Яйцо перепелиное (Варка): 65 г, Соль поваренная пищевая: 4 г, Морские водоросли вакаме, сырые: 30 г, Кедровый орех, сушеный: 3 г"
Хлеб с рукколой,257.9 кКал,16.9 г,8.8 г,20.9 г,"Отруби овсяные: 40 г, Яйцо куриное (Запекание): 52 г, Йогурт греческий TEOS 2%: 40 г, Сода пищевая, разрыхлитель для выпечки: 1.2 г, Соль поваренная пищевая: 1.2 г, Руккола: 23 г"
Суфле творожно шоколадное с мятой,158.6 кКал,15.1 г,6.5 г,9.2 г,"Творог обезжиренный, 0,6% жирности: 480 г, Желатин, сухой порошок, неподслащенный: 10 г, Молоко 2,5% жирности, стерилизованное: 250 г, Сахар песок: 30 г, Сахар, коричневый: 10 г, Какао тертое: 100 г, Мята перечная, свежая: 20 г"
Гречанники,216.6 кКал,10.7 г,16 г,7.5 г,"Курица 1 кат. (Тушение): 500 г, Лук репчатый (Жарка): 100 г, Морковь (Жарка): 100 г, Гречневая крупа ядрица (Варка без слива рассыпчатая): 100 г, Сметана 15% жирности (Запекание): 80 г, Томатная паста. Консервы: 40 г, Вода: 200 г, Яйцо куриное (Запекание): 70 г, Подсолнечное масло: 60 г, Соль поваренная пищевая: 5 г, Перец черный,  молотый или горошек: 1 г"
Пшенная каша с тыквой,125.1 кКал,4.3 г,1.6 г,23.4 г,"Пшенная крупа, пшено шлифованное (Варка без слива вязкая): 200 г, Тыква (Варка без слива): 150 г, Соль поваренная пищевая: 2 г, Сахар песок: 5 г, Молоко 3,2% жирности, стерилизованное (Кипячение): 100 г, Вода: 200 г"
"Рыбный супчик с камбалой, треской и форелью на бульоне из морепродуктов",82.1 кКал,10.9 г,3 г,2.4 г,"Бульон из морепродуктов с рыбным соусом острый: 900 г, Треска (Варка): 120 г, Форель, все виды: 100 г, Камбала черноморская (Варка): 180 г, Морковь (Варка без слива): 60 г, Лук репчатый (Варка без слива): 60 г, Артишок: 50 г, Зелень кориандра (кинза), сырая: 30 г"
Грудинка золотая,421.2 кКал,8.2 г,41.4 г,3.7 г,"Свинина, грудинка мякоть (Варка): 500 г, Чеснок, сырой: 10 clove, Перец черный,  молотый или горошек: 20 г, Лавровый лист: 5 tsp, crumbled, Соль поваренная пищевая: 20 г"
"Капуста с мясом индейки, шампиньонами, кабачком, яблоком",82.2 кКал,7.9 г,3.7 г,4 г,"Оливковое масло: 21 г, Индейка, грудка, только мясо: 166 г, Капуста белокочанная (Жарка): 300 г, Морковь (Жарка): 14 г, Лук репчатый (Жарка): 63 г, Яблоко (Жарка): 25 г, Сельдерей (Жарка): 7 г, Перец сладкий зеленый (Жарка): 37 г, Паприка, перец сладкий молотый: 0.5 г, Помидор (томат), парниковый (Жарка): 72 г, Кабачок (Жарка): 121 г, Шампиньоны (Жарка): 54 г, Йогурт греческий TEOS 2%: 137 г, Вода: 100 г, Соль поваренная пищевая: 7 г"
Малосольная тюлька  на хлебе с помидорами,194.1 кКал,9.3 г,10 г,16.6 г,"Тюлька осенняя соленая: 25 г, Хлеб французский из муки 1 сорт: 24 г, Помидор (томат) желтый, сырые: 15 г, Лук репчатый: 5 г"
Капуста с скумбрией,99.8 кКал,8.3 г,5.8 г,3.6 г,"Лук репчатый (Жарка): 56 г, Морковь (Жарка): 27 г, Скумбрия дальневосточная (Жарка): 238 г, Капуста белокочанная (Тушение): 300 г, Перец сладкий зеленый: 57 г, Йогурт греческий TEOS 2%: 140 г, Вода: 100 г, Соль поваренная пищевая: 7 г, Паприка, перец сладкий молотый: 0.5 г"
